date,malaysia
6/30/2023,54.048
6/29/2023,55.331
6/28/2023,55.371
6/27/2023,53.047
6/26/2023,53.662
6/23/2023,55.567
6/22/2023,55.463
6/21/2023,55.388
6/20/2023,54.773
6/19/2023,55.006
6/16/2023,54.861
6/15/2023,55.729
6/14/2023,56.046
6/13/2023,57.025
6/12/2023,57.814
6/9/2023,58.917
6/8/2023,60.36
6/7/2023,59.709
6/6/2023,60.763
6/5/2023,61.79
6/2/2023,61.661
6/1/2023,63.666
5/31/2023,64.379
5/30/2023,63.394
5/29/2023,65.432
5/26/2023,66.405
5/25/2023,66.978
5/24/2023,66.515
5/23/2023,66.763
5/22/2023,67.376
5/19/2023,68.511
5/18/2023,70.665
5/17/2023,71.466
5/16/2023,71.53
5/15/2023,71.033
5/12/2023,71.155
5/11/2023,71.897
5/10/2023,73.408
5/9/2023,74.105
5/8/2023,73.577
5/5/2023,73.645
5/4/2023,75.267
5/3/2023,74.225
5/2/2023,72.392
5/1/2023,70.799
4/28/2023,71.358
4/27/2023,71.772
4/26/2023,74.387
4/25/2023,73.397
4/24/2023,72.125
4/21/2023,71.724
4/20/2023,70.568
4/19/2023,69.726
4/18/2023,66.332
4/17/2023,66.554
4/14/2023,66.972
4/13/2023,66.848
4/12/2023,68.397
4/11/2023,71.318
4/10/2023,73.251
4/7/2023,72.393
4/6/2023,72.155
4/5/2023,72.95
4/4/2023,72.179
4/3/2023,72.787
3/31/2023,74.204
3/30/2023,76.496
3/29/2023,80.961
3/28/2023,83.082
3/27/2023,84.952
3/24/2023,84.328
3/23/2023,80.504
3/22/2023,78.085
3/21/2023,79.076
3/20/2023,84.929
3/17/2023,76.263
3/16/2023,76.399
3/15/2023,78.807
3/14/2023,78.026
3/13/2023,75.349
3/10/2023,73.655
3/9/2023,69.022
3/8/2023,69.405
3/7/2023,65.019
3/6/2023,66.508
3/3/2023,67.056
3/2/2023,70.441
3/1/2023,70.93
2/28/2023,71.718
2/27/2023,71.882
2/24/2023,72.29
2/23/2023,72.899
2/22/2023,75.341
2/21/2023,73.314
2/20/2023,68.365
2/17/2023,68.526
2/16/2023,66.499
2/15/2023,67.536
2/14/2023,66.637
2/13/2023,67.936
2/10/2023,66.756
2/9/2023,64.055
2/8/2023,63.515
2/7/2023,63.937
2/6/2023,61.9
2/3/2023,59.039
2/2/2023,62.587
2/1/2023,65.256
1/31/2023,66.41
1/30/2023,65.792
1/27/2023,63.854
1/26/2023,65.309
1/25/2023,65.704
1/24/2023,65.747
1/23/2023,65.971
1/20/2023,66.071
1/19/2023,66.273
1/18/2023,66.474
1/17/2023,67.909
1/16/2023,67.925
1/13/2023,69.398
1/12/2023,70.227
1/11/2023,72.33
1/10/2023,73.536
1/9/2023,71.499
1/6/2023,75.387
1/5/2023,77.098
1/4/2023,76.082
1/3/2023,76.752
1/2/2023,79.731
12/30/2022,78.68
12/29/2022,78.618
12/28/2022,77.005
12/27/2022,79.053
12/26/2022,79.018
12/23/2022,77.775
12/22/2022,78.836
12/21/2022,78.302
12/20/2022,79.668
12/19/2022,77.767
12/16/2022,77.493
12/15/2022,73.77
12/14/2022,73.32
12/13/2022,74.044
12/12/2022,77.162
12/9/2022,77.593
12/8/2022,78.835
12/7/2022,79.245
12/6/2022,76.054
12/5/2022,73.574
12/2/2022,73.708
12/1/2022,71.97
11/30/2022,74.404
11/29/2022,75.09
11/28/2022,77.006
11/25/2022,77.69
11/24/2022,77.577
11/23/2022,81.839
11/22/2022,83.709
11/21/2022,84.627
11/18/2022,82.072
11/17/2022,84.689
11/16/2022,76.498
11/15/2022,75.735
11/14/2022,72.837
11/11/2022,76.376
11/10/2022,91.575
11/9/2022,91.877
11/8/2022,88.88
11/7/2022,98.541
11/4/2022,103.846
11/3/2022,105.288
11/2/2022,102.47
11/1/2022,105.012
10/31/2022,107.106
10/28/2022,106.116
10/27/2022,108.398
10/26/2022,111.442
10/25/2022,119.114
10/24/2022,121.623
10/21/2022,120.267
10/20/2022,117.642
10/19/2022,114.999
10/18/2022,114.216
10/17/2022,118.18
10/14/2022,118.909
10/13/2022,116.844
10/12/2022,117.707
10/11/2022,120.219
10/10/2022,117.141
10/7/2022,114.034
10/6/2022,111.374
10/5/2022,110.36
10/4/2022,109.597
10/3/2022,118.03
9/30/2022,121.449
9/29/2022,123.45
9/28/2022,119.669
9/27/2022,110.349
9/26/2022,114.408
9/23/2022,106.861
9/22/2022,97.991
9/21/2022,91.342
9/20/2022,85.687
9/19/2022,79.264
9/16/2022,77.967
9/15/2022,73.715
9/14/2022,75.638
9/13/2022,74.137
9/12/2022,72.229
9/9/2022,73.193
9/8/2022,75.807
9/7/2022,77.676
9/6/2022,79.071
9/5/2022,82.493
9/2/2022,81.277
9/1/2022,82.866
8/31/2022,78.112
8/30/2022,76.386
8/29/2022,76.469
8/26/2022,73.492
8/25/2022,73.876
8/24/2022,76.211
8/23/2022,79.706
8/22/2022,78.991
8/19/2022,75.204
8/18/2022,73.861
8/17/2022,72.574
8/16/2022,71.972
8/15/2022,72.239
8/12/2022,74.541
8/11/2022,75.223
8/10/2022,77.404
8/9/2022,80.837
8/8/2022,72.332
8/5/2022,72.113
8/4/2022,78.153
8/3/2022,78.839
8/2/2022,81.191
8/1/2022,70.792
7/29/2022,68.054
7/28/2022,78.726
7/27/2022,91.029
7/26/2022,91.185
7/25/2022,90.023
7/22/2022,93.788
7/21/2022,96.564
7/20/2022,98.4
7/19/2022,105.752
7/18/2022,106.604
7/15/2022,110.008
7/14/2022,106.501
7/13/2022,106.379
7/12/2022,106.541
7/11/2022,101.474
7/8/2022,100.863
7/7/2022,101.958
7/6/2022,105.237
7/5/2022,105.006
7/4/2022,105.119
7/1/2022,103.369
6/30/2022,103.697
6/29/2022,99.498
6/28/2022,97.06
6/27/2022,65.626
6/24/2022,97.004
6/23/2022,98.993
6/22/2022,96.592
6/21/2022,94.121
6/20/2022,96.605
6/17/2022,99.023
6/16/2022,102.943
6/15/2022,90.572
6/14/2022,95.521
6/13/2022,94.677
6/10/2022,73.215
6/9/2022,69.912
6/8/2022,66.509
6/7/2022,68.687
6/6/2022,69.579
6/3/2022,67.694
6/2/2022,70.598
6/1/2022,69.375
5/31/2022,68.89
5/30/2022,69.148
5/27/2022,79.066
5/26/2022,80.265
5/25/2022,83.669
5/24/2022,94.772
5/23/2022,96.186
5/20/2022,99.18
5/19/2022,103.426
5/18/2022,98.331
5/17/2022,97.254
5/16/2022,99.819
5/13/2022,100.594
5/12/2022,103.899
5/11/2022,98.007
5/10/2022,101.993
5/9/2022,98.243
5/6/2022,96.843
5/5/2022,93.939
5/4/2022,92.346
5/3/2022,94.159
5/2/2022,90.274
4/29/2022,90.742
4/28/2022,92.194
4/27/2022,93.72
4/26/2022,92.278
4/25/2022,94.123
4/22/2022,73.724
4/21/2022,71.066
4/20/2022,72.26
4/19/2022,71.377
4/18/2022,78.118
4/15/2022,65.242
4/14/2022,68.717
4/13/2022,69.035
4/12/2022,66.807
4/11/2022,62.796
4/8/2022,63.157
4/7/2022,62.237
4/6/2022,61.981
4/5/2022,59.429
4/4/2022,59.071
4/1/2022,67.309
3/31/2022,65.791
3/30/2022,64.171
3/29/2022,65.69
3/28/2022,68.808
3/25/2022,68.433
3/24/2022,69.272
3/23/2022,67.535
3/22/2022,67.74
3/21/2022,66.212
3/18/2022,61.902
3/17/2022,62.157
3/16/2022,71.063
3/15/2022,77.326
3/14/2022,73.117
3/11/2022,69.897
3/10/2022,67.793
3/9/2022,77.314
3/8/2022,81.743
3/7/2022,83.024
3/4/2022,75.634
3/3/2022,72.846
3/2/2022,74.562
3/1/2022,75.208
2/28/2022,76.686
2/25/2022,72.761
2/24/2022,72.759
2/23/2022,66.965
2/22/2022,67.651
2/21/2022,66.08
2/18/2022,65.446
2/17/2022,60.716
2/16/2022,60.239
2/15/2022,60.159
2/14/2022,61.306
2/11/2022,65.627
2/10/2022,58.418
2/9/2022,58.35
2/8/2022,60.068
2/7/2022,60.899
2/4/2022,61.212
2/3/2022,55.606
2/2/2022,55.243
2/1/2022,55.005
1/31/2022,56.422
1/28/2022,60.201
1/27/2022,55.929
1/26/2022,54.112
1/25/2022,55.181
1/24/2022,54.447
1/21/2022,56.203
1/20/2022,52.486
1/19/2022,52.591
1/18/2022,54.415
1/17/2022,53.466
1/14/2022,51.248
1/13/2022,49.219
1/12/2022,47.803
1/11/2022,47.934
1/10/2022,48.27
1/7/2022,47.468
1/6/2022,48.252
1/5/2022,45.128
1/4/2022,44.701
1/3/2022,45.469
12/31/2021,45.297
12/30/2021,45.966
12/29/2021,46.417
12/28/2021,46.304
12/27/2021,46.114
12/24/2021,46.953
12/23/2021,47.161
12/22/2021,46.821
12/21/2021,47.581
12/20/2021,48.319
12/17/2021,47.162
12/16/2021,46.888
12/15/2021,48.653
12/14/2021,48.865
12/13/2021,49.898
12/10/2021,50.406
12/9/2021,51.63
12/8/2021,54.301
12/7/2021,56.723
12/6/2021,59.228
12/3/2021,59.052
12/2/2021,60.072
12/1/2021,62.45
11/30/2021,60.337
11/29/2021,59.234
11/26/2021,61.311
11/25/2021,57.053
11/24/2021,57.552
11/23/2021,56.649
11/22/2021,56.222
11/19/2021,56.378
11/18/2021,58.434
11/17/2021,58.461
11/16/2021,59.163
11/15/2021,59.156
11/12/2021,59.361
11/11/2021,59.991
11/10/2021,59.031
11/9/2021,60.663
11/8/2021,57.478
11/5/2021,55.848
11/4/2021,55.06
11/3/2021,55.536
11/2/2021,55.982
11/1/2021,54.382
10/29/2021,53.909
10/28/2021,53.644
10/27/2021,52.953
10/26/2021,54.117
10/25/2021,55.81
10/22/2021,55.657
10/21/2021,56.897
10/20/2021,56.239
10/19/2021,56.732
10/18/2021,58.256
10/15/2021,59.388
10/14/2021,63.875
10/13/2021,64.399
10/12/2021,63.699
10/11/2021,63.147
10/8/2021,58.335
10/7/2021,56.543
10/6/2021,59.886
10/5/2021,56.901
10/4/2021,52.215
10/1/2021,51.081
9/30/2021,50.461
9/29/2021,51.653
9/28/2021,51.173
9/27/2021,49.699
9/24/2021,48.998
9/23/2021,48.017
9/22/2021,48.588
9/21/2021,49.335
9/20/2021,51.851
9/17/2021,44.143
9/16/2021,42.428
9/15/2021,42.554
9/14/2021,42.249
9/13/2021,42.312
9/10/2021,42.159
9/9/2021,42.503
9/8/2021,42.301
9/7/2021,42.036
9/6/2021,42.935
9/3/2021,42.694
9/2/2021,42.922
9/1/2021,43.355
8/31/2021,44.425
8/30/2021,45.693
8/27/2021,47.047
8/26/2021,47.543
8/25/2021,47.814
8/24/2021,48.396
8/23/2021,49.137
8/20/2021,49.301
8/19/2021,49.003
8/18/2021,49.241
8/17/2021,50.322
8/16/2021,49.955
8/13/2021,49.418
8/12/2021,50.213
8/11/2021,50.91
8/10/2021,51.229
8/9/2021,51.359
8/6/2021,51.205
8/5/2021,51.332
8/4/2021,51.565
8/3/2021,51.438
8/2/2021,51.482
7/30/2021,51.5
7/29/2021,50.786
7/28/2021,51.999
7/27/2021,52.162
7/26/2021,49.706
7/23/2021,49.07
7/22/2021,49.085
7/21/2021,49.213
7/20/2021,49.492
7/19/2021,48.193
7/16/2021,47.368
7/15/2021,47.722
7/14/2021,46.87
7/13/2021,47.693
7/12/2021,47.416
7/9/2021,46.542
7/8/2021,47.404
7/7/2021,45.345
7/6/2021,43.919
7/5/2021,43.301
7/2/2021,43.854
7/1/2021,43.519
6/30/2021,43.494
6/29/2021,43.589
6/28/2021,43.785
6/25/2021,43.834
6/24/2021,44.137
6/23/2021,44.453
6/22/2021,45.053
6/21/2021,45.301
6/18/2021,44.263
6/17/2021,44.381
6/16/2021,43.71
6/15/2021,43.531
6/14/2021,43.379
6/11/2021,43.159
6/10/2021,44.362
6/9/2021,44.324
6/8/2021,44.835
6/7/2021,45.17
6/4/2021,45.298
6/3/2021,45.888
6/2/2021,45.757
6/1/2021,46.229
5/31/2021,45.817
5/28/2021,45.864
5/27/2021,45.877
5/26/2021,46.162
5/25/2021,46.802
5/24/2021,47.237
5/21/2021,47.375
5/20/2021,47.464
5/19/2021,46.931
5/18/2021,46.52
5/17/2021,46.476
5/14/2021,46.916
5/13/2021,48.412
5/12/2021,46.499
5/11/2021,45.739
5/10/2021,44.779
5/7/2021,45.48
5/6/2021,46.163
5/5/2021,46.164
5/4/2021,46.013
5/3/2021,45.544
4/30/2021,45.746
4/29/2021,45.584
4/28/2021,46.95
4/27/2021,46.615
4/26/2021,46.798
4/23/2021,46.612
4/22/2021,46.664
4/21/2021,45.682
4/20/2021,45.622
4/19/2021,44.399
4/16/2021,45.691
4/15/2021,46.794
4/14/2021,48.748
4/13/2021,46.373
4/12/2021,46.1
4/9/2021,46.484
4/8/2021,46.836
4/7/2021,45.922
4/6/2021,43.38
4/5/2021,43.609
4/2/2021,43.562
4/1/2021,43.829
3/31/2021,44.814
3/30/2021,44.796
3/29/2021,44.043
3/26/2021,43.693
3/25/2021,43.926
3/24/2021,43.94
3/23/2021,42.903
3/22/2021,43.537
3/19/2021,39.225
3/18/2021,39.643
3/17/2021,40.649
3/16/2021,40.638
3/15/2021,41.301
3/12/2021,42.365
3/11/2021,41.73
3/10/2021,44.668
3/9/2021,45.012
3/8/2021,43.406
3/5/2021,42.171
3/4/2021,41.753
3/3/2021,39.577
3/2/2021,39.254
3/1/2021,38.988
2/26/2021,40.986
2/25/2021,38.017
2/24/2021,37.545
2/23/2021,38.484
2/22/2021,38.023
2/19/2021,37.296
2/18/2021,37.351
2/17/2021,37.567
2/16/2021,36.996
2/15/2021,37.804
2/12/2021,42.756
2/11/2021,37.871
2/10/2021,38.095
2/9/2021,37.54
2/8/2021,37.717
2/5/2021,38.708
2/4/2021,39.448
2/3/2021,39.513
2/2/2021,40.413
2/1/2021,41.729
1/29/2021,42.77
1/28/2021,42.722
1/27/2021,42.042
1/26/2021,40.815
1/25/2021,40.836
1/22/2021,41.244
1/21/2021,40.354
1/20/2021,41.205
1/19/2021,41.802
1/18/2021,42.735
1/15/2021,41.41
1/14/2021,41.172
1/13/2021,41.16
1/12/2021,39.667
1/11/2021,38.963
1/8/2021,37.517
1/7/2021,36.799
1/6/2021,37.624
1/5/2021,37.439
1/4/2021,36.597
1/1/2021,43.196
12/31/2020,37.523
12/30/2020,37.53
12/29/2020,37.746
12/28/2020,43.308
